name,logo,country,home_id
danone,danone.svg,UA,1
rozetka,rozetka.svg,UA,1
alidi,alidi.svg,RU,1
1с-битрикс,bistrix.svg,RU,1
danfoss,danfoss.svg,RU,1
abu,abu.svg,RU,1
росгосстрах,rosgosstrah.svg,RU,1
Азбука Вкуса,ab.svg,RU,1
Восточная техника,vost_tech.svg,RU,1
heineken,heineken.svg,RU,1
mcdonald,mcdonald.svg,UA,1
московский кредитный банк,mos_cred.svg,RU,1
герофарм,gerofarm.svg,RU,1
мосинжпроект,mos_project.svg,RU,1
росатом,rosatom.svg,RU,1
открытие банк,otkritie.svg,RU,1
русфинанс банк,rusfinance.svg,RU,1
слата,slata.svg,RU,1
согаз,sogas.svg,RU,1
жилстройсбербанк,stroy_sberbank.svg,RU,1
tele2,tele2.svg,RU,1
тгк-1,tgk.svg,RU,1
тинькофф банк,tinkoff.svg,RU,1
vadafon,vadafon.svg,UA,1
як,yak.svg,RU,1
