title,logo,courses
Предварительное тестиование,pre_test.svg,1:2:3:5
3 модуля общего универсального материала,3_module.svg,1:2:4:5:7
2 модуля общего универсального материала,2_module.svg,3
1 модуль общего универсального материала,1_module.svg,6:8
Специализированные модули,special_module.svg,1:2:3:4:5:7
Профессиональные траектории,prof_traject.svg,1
Экспресс-версия,express_version.svg,1
Рабочие файлы,work_file.svg,1:2:3:4:5
Закрепляющие тесты,tests.svg,1:2:3:4:5:7
Интерактивные тренажёры,interactive_train.svg,1:2:3:4:5:7
Экзамен и сертификация,sertification.svg,1:2:3:4:5
