text,courses
Как устроена программа,1
Как устроена работа с формулами,1
Какие задачи можно решить при помощи функций,1
Как оформлять таблицу,1
Как работать с большими таблицами,1
Как настраивать общий доступ для совместной работы над файлом (это в 2019 экселе если что),1
Как создавать диаграммы,1
Как создавать сводные таблицы и сводные диаграммы,1
Чем могут быть полезны массивы,1
Как устроена программа,1
Как устроена работа с формулами,1
Какие задачи можно решить при помощи функций,1
Как оформлять таблицу,1
Как работать с большими таблицами,1
Как настраивать общий доступ для совместной работы над файлом (это в 2019 экселе если что),1
Как создавать диаграммы,1
Как создавать сводные таблицы и сводные диаграммы,1
Чем могут быть полезны массивы,1
